". . . . . Hiện tại bắt đầu vì ngài thông báo quốc tế tin tức."

	"Thủ tướng Nga Putin chính thức tuyên bố tham dự lần tiếp theo tổng thống tranh cử."

	"Nước ta cầu thủ Yao Ming tại NBA tổng quyết tái trận thứ bảy bên trong, 25 ném 18 trúng, phạt bóng 20 phạt 20 trúng, lấy được 5 6 điểm, 24 Rebound, 11 lần cover, 10 lần trợ công khống chế cấp bốn song số liệu, ngoài ra còn có 2 lần cắt bóng, phá vỡ NBA phủ bụi nhiều năm ghi chép, thành công được tuyển tổng quyết tái mvp, đồng thời trợ giúp Houston đội Rockets lấy 121: 118 thuận lợi đánh bại vệ miện Celtic đội, thu hoạch được đội bóng trong lịch sử cái thứ ba tổng quán quân. Tracy McGrady bởi vì eo thương không thể ra sân."

	"Nước Đức Simon công ty con phát biểu tuyên bố, tuyên bố đã khống chế e. s tập đoàn 37. 4% cổ phiếu, cộng thêm trước đó cổ phiếu số lượng, trở thành đệ nhất đại cổ đông, đã thuận lợi nhập chủ e. s tập đoàn. Phân tích gia cho rằng, Simon công ty con cưỡng ép thu mua sách lược tiến hành đến không hề thuận lợi, rất có thể trước đó thu mua tiếng gió đã bị tiết lộ, e. s tập đoàn rất có thể chỉ là một cái xác không. Thu mua tin tức truyền ra về sau, Dow Jones chỉ số rút nhanh chóng, chỉ số Nikkey, Hang Seng chỉ số chịu hắn ảnh hưởng, cũng phân biệt có khác biệt mức độ bên dưới áp chế."

	Lão Hồ uể oải nằm trên ghế sa lon xỉa răng răng nhìn xem bản tin thời sự, giống như là một đầu ăn no rồi mãnh hổ an nhàn tại cửa động phơi nắng.

	"Hả? Tổng quán quân? Bốn song, đó là cái gì? e. s tập đoàn dường như có chút quen tai đây. Giai Giai, Giai Giai! Tới đem bát dọn."

	Hồ Giai đang tại khuê phòng của mình bên trong cẩn thận trang điểm ăn mặc đây, nghe tiếng nhanh chóng chạy ra là thu bát rửa sạch, tại cao cổ khăn quàng cùng giữ mình quần jean phụ trợ bên dưới, nữ hài tử khí tức thanh xuân bức người mà tới. Lão Hồ nhìn xem dần dần trưởng thành nữ nhi, trong lòng tràn đầy vui mừng, đột nhiên dâng lên một cái ý niệm trong đầu:

	"Nếu là Nhàn Văn tại, nhìn thấy nữ nhi trổ mã đến như thế xinh đẹp cái kia hẳn là thật tốt ah."

	Nhàn Văn chính là hắn vong thê tên. Lão Hồ đang nhớ lại bên trong thời điểm, thời gian trôi qua rất nhanh, Hồ Giai rất nhanh liền đem việc nhà làm xong, nhảy nhảy nhót nhót về đến phòng lần nữa ăn mặc về sau, nhìn một chút ngồi ở trên ghế sa lon lão ba, liền rón rén ý định chuồn đi, ai biết vừa mới mở cửa, lão Hồ liền đen đáy nồi đồng dạng mặt nói:

	"Đi đâu đi?"

	Hồ Giai tại cửa ra vào ngây người. Mắt to đi lòng vòng nói:

	"Ta. . . Ta đi trường học tự học."

	Lão Hồ vẻ mặt càng thêm khó coi:

