Chương 923: Phản siêu 
 Converter Dzung Kiều cầu phiếu 

	Kết thúc, Cuộc Chiến Không Trọng Lực - Gravity ngày thứ nhất ở Mỹ phát hình kết thúc.

	Có thể tưởng tượng được, nó phòng bán vé là thảm đạm, có thể dùng thảm tuyệt nhân hoàn để hình dung.

	Cuối cùng phòng bán vé kết quả cũng đi ra.

	Khủng long tái sinh - Age Of Dinosaurs phòng bán vé lấy mười hai triệu USD hoàn mỹ thu quan.

	Resident Evil: Retribution lấy chín trăm năm mươi vạn USD phòng bán vé hoàn mỹ thu quan.

	Xếp hạng hạng ba Cuộc Chiến Không Trọng Lực - Gravity lấy một triệu rưỡi USD thành tích ảm đạm thu quan.

	Không thể không nói cái hạng này sắp hàng cũng là rất hấp dẫn người, làm một ít chú ý bảng danh sách này nhân sĩ thấy cái kết quả này sau.

	Rối rít đang suy đoán, bộ phim này kết quả nói là cái gì, lại còn có một triệu rưỡi USD phòng bán vé.

	Thật ra thì bọn họ cũng không biết, vừa mới bắt đầu Cuộc Chiến Không Trọng Lực - Gravity phát hình lúc này thứ nhất trên trận ánh kết thúc lúc này phòng bán vé chỉ có lớn mấy chục ngàn mà thôi.

	Cho đến buổi sáng trận chiếu hoàn, phòng bán vé cũng cũng chỉ có hơn 300k USD mà thôi, buổi chiều cộng thêm buổi tối phòng bán vé cộng lại mới có một triệu rưỡi.

	Nói cách khác, Cuộc Chiến Không Trọng Lực - Gravity danh tiếng mới vừa mở ra mà thôi.

	Ở TQ, bởi vì vì Đấu Ngưu phát hình, đưa tới TQ một mảnh cơn sốt chiếu phim.

	Theo Đấu Ngưu nổi tiếng, Dương Bác muốn đặt không ngừng, có thể nói hắn căn bản không có lúc rỗi rãnh, phần lớn thời gian đều là ở bên ngoài xã giao.

	Hai bên ảnh mảnh đều ở đây đồng thời phát hình, theo thời gian dời đổi, Cuộc Chiến Không Trọng Lực - Gravity cũng dần dần lực.

	Một tuần lễ sau đó, Cuộc Chiến Không Trọng Lực - Gravity đã khó khăn lắm cùng ngoài ra 2 đạo diễn lớn phòng bán vé theo gương, rất nhiều nghiền ép tư thái.

