Chương 162: Trò chuyện 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Trương Hoa trầm ngâm.

	An toàn của cha mẹ, có thể nói trước mặt đòi hỏi thứ nhất, không thể trì hoãn nữa.

	Nhưng bây giờ thủ hạ mới mèo lớn mèo nhỏ 2-3 chỉ, sức chiến đấu mạnh nhất Vương Lục Giáp cũng mới hóa kính, bảo vệ mình hoặc giả là đủ rồi, có thể tưởng tượng quá mức bảo vệ những người khác, nhưng là lực có không đãi.

	Giống như lần này, Trương Triêu Dương trúng cổ, coi như Vương Lục Giáp ở một bên, phỏng đoán vậy không phát hiện được. . . Khoa bất đồng, kinh nghiệm chưa đủ.

	Còn như những thứ khác, Dương Lão Nhị chí ít còn phải thu nạp mười năm âm khí, mới có thể làm được ban ngày hiện hình, có nhất định sức chiến đấu; bò lớn, cái này ngược lại là có thể sử dụng, chỉ bất quá, có nhiều chỗ nó không liền đi theo.

	Ngươi xem trên đường chính, có ai nuôi bò làm thú cưng, tùy thân mang theo?

	Một cái cũng không có.

	Cho nên cái này lựa chọn cũng là rất không đáng tin cậy.

	Cho nên, trước đem 《 bát quái bí truyền 》 ném cho Vương Lục Giáp, xem xem hắn có thể hay không tiến hơn một bước, đạt tới nửa bước quy nguyên cảnh. Đến lúc đó chiến lực tăng lên là thứ yếu, trọng yếu nhất chính là đối ngoại giới cảm giác sẽ tăng cường thật nhiều, có thể nhận ra được rất nhiều người thường không phát hiện được âm năng lượng tối tăm.

	. . .

	Lầu 1.

	Cung Ngọc Phù đạn trước đàn cổ, tiếng đàn lượn quanh Lương, nhưng rõ ràng mang một tia ngưng trệ một cái.

	"Tiểu thư, có tâm sự?" Bác Ngô đứng ở một bên, rất thân thiết hỏi.

	Làm là Cung Ngọc Phù người bảo vệ, hắn đối với vị này đại tiểu thư có thể nói rõ ràng khá sâu. Rất lâu, không cần lời nói, là được biết rõ đối phương tâm ý.

	"Đúng vậy, bác Ngô, ngươi Trương Hoa chân nhân chuẩn bị những thứ này, hắn phù văn chi đạo rốt cuộc đã đạt tới trình độ nào?"

