Chương 89: Nhất định là giả! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Lúc này, Bắc Phong đối với ngôi sao này lên cái gọi là thành thần căn cơ cũng là không có hứng thú.

	Nếu là không biết Nguyệt Thiền tồn tại, Bắc Phong có lẽ còn cảm thấy hứng thú.

	Chỉ khi nào biết Nguyệt Thiền tồn tại sau đó, Bắc Phong đã đoán được cái gọi là thành thần căn cơ là cái gì.

	Không chỉ là Nguyệt Thiền, hai mươi bốn cao nhất sinh vật đều là vô cùng kinh khủng, huyết mạch ở chư thiên vạn giới trong mạnh nhất!

	Như vậy tồn tại, cả người đều là bảo!

	Một đầu thuần huyết Nguyệt Thiền, dù là chỉ là một món máu tươi, đối với phổ thông chủng tộc mà nói, cũng là chí bảo!

	Đặc biệt là Nguyệt Thiền nắm trong tay nói , đáp lời cuộc đời còn lại vật mà nói, lại là trân quý.

	Cho dù là một món đạo vận, cũng có thể để cho người đột phá!

	Bắc Phong đáp lời không ôm có ý niệm, không phải hắn, sợ mâu thuẫn mà thôi.

	Hai mươi bốn cao nhất sinh vật bây giờ, huyết mạch không thể cùng tồn tại!

	Hằng cổ đến nay, chưa bao giờ có có thể đem 2 loại cao nhất sinh vật huyết mạch dung hợp tồn tại!

	Cưỡng ép dung hợp, chỉ có một con đường chết!

	Bắc Phong mục tiêu rất rõ ràng, đó chính là đi săn!

	Rất nhiều Dực tộc tồn tại, đều là thiên kiêu, trong đó nắm trong tay đứng đầu hoặc là đặc thù đại đạo Dực tộc có lẽ rất ít.

	Có thể ở khổng lồ cơ sở dưới, số người vậy tuyệt đối không thiếu!

	"Nguyên bản còn lo lắng, sợ đại đạo số lượng chưa đủ, không nghĩ tới bây giờ nhưng là tiết kiệm được ta một phen công phu!"

	Bắc Phong con ngươi khép mở, có tiên quang bắn tán loạn!

	"Nói ngươi đó! Phát cái gì ngây ngô, La Thường thái tử có lệnh, tất cả dực hoàng tinh dực tộc phải toàn lực giúp thái tử điện hạ lấy được thành thần căn cơ!"

	Giữa lúc Bắc Phong suy tư, một đạo chỉ cao khí ngang thanh âm từ phía trước truyền tới.

	Bắc Phong ngẩng đầu nhìn lại, chỉ thấy đám người hướng hai bên tản ra, một vị Dực tộc tiến lên, trong mắt mang trên cao nhìn xuống ý.

	"Lần này Ô Mộc Hằng chết chắc, đừng xem ở học viện Thần Phong làm mưa làm gió, đè bọn ta, nhưng bây giờ nhưng mà La Thường thái tử ra lệnh."

	"Đúng vậy, Ô Mộc Hằng cuồng vọng như vậy người, chắc chắn sẽ không nghe lệnh, cái này phải tranh đấu, tuyệt đối không cách nào may mắn tránh khỏi!"

	Học viện Thần Phong một đám Dực tộc rối rít cười trên sự đau khổ của người khác, đồng thời đem Bắc Phong nhường lại.

	"Nhận ngươi như thế nào ẩn nhẫn, thực lực cường đại, có thể đối mặt La Thường thái tử, cũng bất quá là một giới nô bộc, vung thì tới, hy vọng ngươi có thể thấy rõ hình thức."

	Dực tộc trong, Mỹ Sinh Hoa ánh mắt phức tạp nhìn về phía Bắc Phong.

	La Thường, thái tử chẳng qua là tôn xưng, chính là thần linh con!

	Sanh ra bất phàm, quyền thế vô biên!

	Thực lực cũng là đứng đầu, La Thường dã tâm rất lớn, muốn trực tiếp đem toàn bộ dực hoàng tinh thượng Dực tộc thu vào dưới quyền, để cho nó trợ giúp mình tranh đoạt thành thần căn cơ!

	"Ngươi đang nói chuyện với ta?"

	Bắc Phong lời nói rơi xuống, còn không đợi những người còn lại kịp phản ứng, thân thể động!

	Cả người như một đầu tuyệt thế hung thú hồi phục, huyết khí thành sông lớn, treo ngược ở trên không, có vô địch khí cơ bung ra, chấn vỡ đất đai!

	" Ầm!"

	"Một tên phế vật, cũng dám đối với ta kêu la om sòm!"

	Bất quá là một cái đại năng giả cảnh giới chân chó, Bắc Phong giết được không nương tay, trong bàn tay như ẩn chứa trời đất, đem giam cầm, đáng sợ kình đạo chấn vỡ Dực tộc, lưu lại đầy đất huyết dịch.

	"Đánh chó cũng phải xem chủ nhân, ngươi qua."

	Một nhóm Dực tộc hướng Bắc Phong đi tới, một người cầm đầu tướng mạo đường đường, mang vô thượng uy thế, trong con ngươi thô bạo tràn ra!

	"Ngươi thực lực không tệ, có tư cách đi theo bản thái tử!"

	La Thường thân chức vị cao, một lời một hành động đều mang bá đạo, giờ phút này không cho cự tuyệt mở miệng.

	"Thật là vận khí tốt, lại có thể để cho La Thường thái tử tự mình mời chào!"

	"Đây chính là người theo đuổi, một người đắc đạo gà chó thăng thiên, làm La Thường thái tử thành là thần minh sau đó, cái này Ô Mộc Hằng nhưng mà quyền khuynh một phương, nhảy một cái thành vì đại nhân vật!"

	Một đám Dực tộc hâm mộ vô cùng, rối rít nhìn về phía Bắc Phong.

	Xa xa, mấy cây đến từ bất đồng ngôi sao Dực tộc vốn định rời đi, nhưng nhìn nơi này dị biến sau đó, rối rít đem tầm mắt đầu tới đây.

	Bây giờ chẳng qua là vừa mới bắt đầu, sờ không rõ đối phương sâu cạn, vì vậy không có đội ngũ sẽ vào lúc này vung tay, một cái sơ sẩy, có lẽ đem đá vào gậy sắt trên!

