Chương 1: Bắc Phong sắt sắt 
 Converter Dzung Kiều cầu phiếu 

	Thành phố Phúc Châu cả nước công nhận một trong thành phố đáng sống nhất.

	Tới nơi này ngươi có thể thấy nhiều nhất trừ quán mạt chược, vẫn là quán mạt chược!

	Bỏ mặc già trẻ, cũng có thể nói đi ra cái một hai ba tới.

	Nhưng đây chẳng qua là một mặt mà thôi.

	Nhiều người hơn vẫn là vì về điểm kia tiền lương nhỏ nhoi mà đi sớm về trễ.

	"Ngươi chờ một chút đi ngay kế toán kết toán tiền lương đi."

	Một người đàn ông trung niên thanh âm nhàn nhạt vang lên.

	"Quản lý, rõ ràng là bọn họ sai, tại sao phải đuổi ta?"

	Bắc Phong theo lý tranh thủ.

	"Chỉ bằng bọn họ mỗi một tháng có thể là công ty sáng tạo mấy trăm ngàn lời! Tốt lắm, không cần nói nhiều, đi thôi."

	Quản lý không nhịn được nói.

	Người lớn như vậy, lại thế nào là như thế ngây thơ, một phương là có thể là công ty sáng tạo lợi nhuận to lớn, một phương vẫn là ở thời kỳ thực tập, không có trở thành chánh thức, kẻ ngu đều biết nên làm sao chọn.

	Bắc Phong im lặng, hai tay nắm chặt chung một chỗ, không có nói gì, xoay người trở lại vị trí của mình thu dọn đồ đạc.

	"Chặc chặc, đắc tội anh Triệu chính là kết quả này."

	Một người nhìn Bắc Phong dáng vẻ chật vật, cười trên sự đau khổ của người khác nói.

	"Đó cũng không, tổng có một ít người cảm giác được mình rất lợi hại, trên thực tế đâu ? 2 cái nửa tháng cũng không có lái qua một một."

	Một nữ nhân khác cũng có ý ám chỉ.

	Bắc Phong không có lại đi tranh luận cái gì, yên lặng sửa sang lại mình vật phẩm, đi kế toán đem tiền lương kết liễu.

	Có thể là quản lý đã cho kế toán chào hỏi, lãnh lương quá trình rất thuận lợi.

	Thời kỳ thực tập ở giữa một tháng tiền lương là 2500, chút tiền lương này ở thành phố Phúc Châu như vậy chi phí đắt đỏ trong thành phố thật không coi vào đâu.

	Chẳng qua là thuê một căn phòng, thì phải một ngàn hai, còn dư lại điện nước, ngày thường tiêu xài, căn bản cũng không có còn thừa lại.

	Bắc Phong cầm tiền lương, đi ra cửa hàng mặt tiền, trong chốc lát không biết đi nơi nào.

	Mình năm nay cũng có hai mươi sáu tuổi, nhưng lại nhất sự vô thành.

	Không có tiền gửi ngân hàng, không có xe, cũng không có nhà, bạn gái cái gì, ngươi là đang cùng ta nói đùa sao?

	Từ nhỏ Bắc Phong không có gặp qua cha mẹ, bởi vì là mình là bị vứt bỏ cô nhi, thật may bị một ông già nhặt được thu nuôi.

	Nếu không mình sớm cũng không biết chết ở nơi đó, tốt nghiệp trung học đệ nhất cấp sau đó, Bắc Phong liền ra làm việc.

	Không phải là không muốn đi học, ngược lại Bắc Phong thành tích tốt vô cùng, nhưng cụ già cuối cùng quá cao tuổi, không có chịu đựng qua cái đó ngày đông.

	Bắc Phong cũng chỉ có thể bỏ học, đi theo người lớn trong thôn đi ra ngoài tìm việc làm.

	Mặc dù trên công trường rất mệt mỏi, rất dơ, nhưng Bắc Phong vẫn là kiên trì nổi, bởi vì là có một phần tốt tiền lương.

	Theo lý thuyết đã nhiều năm như vậy, Bắc Phong nhiều hơn thiếu thiếu cũng sẽ có điểm tiền gửi ngân hàng.

	Nhưng hai mươi ba tuổi năm ấy, Bắc Phong ở trên công trường công tác lúc từ lầu ba cao địa phương té xuống, bị trọng thương.

	Chủ thầu vừa thấy sự việc không đúng, lập tức liền bỏ chạy, công trường người phụ trách ngược lại là không chạy.

	Bởi vì là không liên quan chuyện của người khác à, chuyện này muốn tìm chủ thầu đi à.

	Cuối cùng ở Bắc Phong một cái trong thôn chú bác trai theo lý tranh thủ dưới tình huống, công trường người phụ trách cầm một trăm ngàn đi ra.

	Lần này chuyện ngoài ý muốn xài hết Bắc Phong tất cả tích góp, hơn nữa còn để lại hậu di chứng.

	Không thể làm việc nặng, một làm việc nặng liền sẽ cảm thấy cơ tim xé vậy đau đớn.

	Hơn nữa bác sĩ trịnh trọng nói cho Bắc Phong, bốn mươi tuổi sau này tê liệt có thể cao đến 80%!

	Cho tới bây giờ Bắc Phong trong thân thể cũng đánh đinh thép.

	Vốn là cùng thôn một chú bác cho Bắc Phong giới thiệu một cái đối tượng, hai bên đã đến nói chuyện cưới gả trình độ.

	Nhưng đối phương nghe được Bắc Phong xảy ra chuyện sau đó, lập tức thoái hôn không làm.

	Đây cũng là nhân chi thường tình, ai muốn nửa đời sau chiếu cố một cái không thể người làm việc?

	Ước chừng tu dưỡng hơn nửa năm Bắc Phong mới tu dưỡng tới.

	"Muốn không trở về nhà?"

	Bắc Phong trong đầu xuất hiện một cái ý niệm, một khi xuất hiện tựa như cùng măng mùa xuân sau cơn mưa, không dừng lại được.

	"Dù sao bây giờ mình là một người, một người ăn no cả nhà không đói bụng."

	Bắc Phong xuất thần suy nghĩ.

	Càng nghĩ càng cảm thấy có thể được, mình nuôi điểm gà vịt, trồng ít hạt thóc, hoàn toàn có thể tự cấp tự túc.

	Bắc Phong lại nữa mê mang, ôm mình cái rương biến mất ở trong dòng người.

	3 tiếng sau đó, Bắc Phong ở trạm xe hơi đường xa xuống xe.

