Chương 132: Gió nổi lên! 
 Converter Dzung Kiều cầu khen thưởng 

	"Tin tức này rốt cuộc là ai phát! Tự đứng ra, còn có thể tranh thủ xử lý khoan hồng!"

	Trong cục công an thành phố Thanh Thành, cục trưởng lạnh lùng nhìn chằm chằm phía dưới mọi người, ngón tay nhẹ nhàng gõ bàn.

	Đám người một hồi xôn xao, sau đó một cái cảnh sát trẻ tuổi đứng dậy, "Là ta phát, nhưng là ta thật không có nghĩ đến sẽ đưa tới lớn như vậy hậu quả, ta không phải cố ý."

	"Rất tốt, ngươi có thể đi, ngày mai không cần tới đi làm!"

	Cục trưởng mặt đầy xanh mét, cắn răng nghiến lợi nói.

	Chính là bởi vì làm cho này cái thằng nhóc, tối nay mình đã sắp xếp trong một đêm cháu.

	Ở cái tin tức này bị tất cả gia tộc lớn phát hiện sau đó, cục công an thành phố Thanh Thành điện thoại đều sắp bị đánh bể.

	Đầu tiên là sở công an tỉnh sở trưởng gọi điện thoại tới rầy mình một lần, không để cho mình nếu lại đi quản chuyện này, tăng thêm cảnh lực phong tỏa vậy một phiến khu vực, tránh có người bình thường xông vào trong đó.

	Nói trắng ra liền chính là một cái giữ cửa, là những cái kia tất cả người của đại gia tộc ra sân xóa bỏ một ít chướng ngại.

	Mình dầu gì cũng là đường đường cục công an thành phố người đứng đầu, lúc nào chật vật như vậy qua? Nhưng những người này tới đầu một người so với một người lớn, căn bản không chọc nổi à!

	Ngày thứ hai, vô số gia tộc lớn cùng công ty lớn người liền chạy tới Thanh Thành, do người của cục công an mang đi mục tiêu.

	Sở công an tỉnh ngành đặc biệt cũng khẩn cấp triệu tập nhân viên, do 2 người hóa cảnh tông sư dẫn đội, hướng thôn Thanh Lĩnh chạy tới.

	Mỗi thành phố đều có minh ám 2 cổ lực lượng tồn tại, minh dĩ nhiên chính là cục công an, ngầm chính là một cái đặc thù ngành, do thân ôm tuyệt kỹ người gia nhập tạo thành, cùng quốc gia tương đương với thuê quan hệ.

	Một khi có không giải quyết được sự việc, liền do bọn họ ra mặt, sau khi hoàn thành dựa theo độ khó dành cho tiền huê hồng.

