Chương 193: 1 kiếm nhẹ thiên hạ! 
 Converter Dzung Kiều cầu phiếu 

	Tô Bách các người thấy sửng sốt một chút, đây là từ nơi nào tìm tới không bình thường?

	"Đây là tên ngu ngốc nào đạo diễn quay phim? Tìm một cái như vậy cô gái không phải đem cả bộ phim cấp bậc cũng gắng gượng kéo xuống không thiếu sao?"

	Nhìn vậy cao lớn thô kệch cô gái, Tô Bách không nhịn được khóe miệng co quắp.

	Còn lại ba người tức chất phác hình tượng đều là làm hết, kết quả đụng tới một cái không bình thường, ngay tức thì liền liên quan đem còn lại ba người phân cũng kéo xuống.

	"Bất quá cô gái này thật là đẹp à, khí chất dung mạo đều là cao cấp!"

	Tô Bách nuốt nước miếng một cái, trong lòng suy nghĩ một ít chuyện xấu xa, ở hắn xem ra, loại này mới xuất đạo nữ diễn viên xài chừng 100k tuyệt đối có thể 1 thân dung nhan.

	"Ta chỉ biết một kiếm, cũng chỉ ra một kiếm!"

	Thương Lan nhìn Cao Li nghiêm túc nói, cả người như cùng một cây không ra khỏi vỏ cổ kiếm!

	"Mời!"

	Cao Li thần sắc ngưng trọng, Thương gia người đời đời đơn truyền, một người chính là nhà giàu có!

	Thương gia người ở Cao Li xem ra cũng là một đám chân chính người điên! Vì kiếm sinh, vì kiếm chết!

	Một chiêu nát vụn phố lớn rút kiếm thuật nhưng là trở thành Thương gia tất sát kỹ! Một kiếm nhẹ thiên hạ!

	Cao Li lần đầu tiên coi trọng, chậm rãi rút ra một cái mang hiện lên kiểm tra lam quang cổ kiếm!

	Kiếm dài ba thước, ly long vì chuôi kiếm, miệng nạp lưỡi kiếm!

	Thân kiếm trung không, thẳng đến mũi kiếm 3 điểm chỗ, vô cùng sắc bén!

	Thương Lan chậm rãi rút kiếm ra giống như đối đãi người yêu như vậy dè đặt, lạnh lùng mũi kiếm bức người, đây là một chuôi như vậy bình thường kiếm, màu đen trên thân kiếm không có bất kỳ trang sức gì dùng đồ.

	Cái này cũng rất nhiều chính là chuyên vì giết hại mà chế tạo ra kiếm, cho dù cách xa như vậy, Cao Li cũng có thể cảm giác được thanh kiếm kia nơi tản mát ra khiếp người sát khí.

	Thương Lan kiếm là như vậy chói mắt, trên thân kiếm giăng đầy từng tia nhỏ không thể nhận ra đường vân, những văn lộ này có thể để cho kiếm cùng không khí tiếp xúc lúc lực cản giảm đến thấp nhất!

	Vạn cổ không thay đổi chi hàn băng, tràn đầy sâu đậm cô quạnh, trong trẻo lạnh lùng kiếm quang giống như chiếm đoạt sinh mạng cự thú!

