Chương 207: Minh Thế Lễ tính toán 
 Converter Dzung Kiều cầu phiếu 

	Tô Lâm 2 cha con cũng sắp khóc, cmn không mang theo chơi như vậy.

	"Tỉnh trưởng, ngài nghe ta nói chuyện này chính là một hiểu lầm!"

	Tô Lâm vội vàng bồi không phải, nhất là suy nghĩ mới vừa rồi con trai mình một hớp một cái tiểu súc sinh, Tô Lâm liền muốn chết, tỉnh trưởng nhà công tử đều là tiểu súc sinh, kia há chẳng phải là liền tỉnh trưởng cũng cho mắng sao?

	Đây nếu là bị ghi lại , cho mình xuyên cái giày nhỏ, vậy sau này mình cũng không có ngày tốt qua, đặc biệt là mình cái mông còn không làm sạch sẽ, cấm không dậy nổi tra, tra một cái xui xẻo.

	Minh Thế Lễ không thể hay không đưa, nhưng cũng đã đem cái này hai cha con nhớ.

	"Người tuổi trẻ, con trai ta còn chưa tới phiên ngươi tới dạy dỗ."

	Minh Thế Lễ quay đầu hướng Bắc Phong nói.

	"Đã xảy ra chuyện gì?"

	Dương Tàm đi tới hỏi thăm, nơi này ồn ào bị một tiểu đạo sĩ thấy được, bởi vì vì tới hôm nay đều là khách quý, tiểu đạo sĩ cũng không tốt làm quyết định, cho nên hồi báo cho Dương Tàm.

	Làm thấy được Bắc Phong, cùng núp ở Tô Lâm sau lưng Tô Bách, Dương Tàm có chút khóc cười không thể, cái này không sẽ lại là ở dạy học trò mình đánh người?

	"Đạo trưởng."

	"Sư phụ! Thượng nhân đang dạy ta đồ."

	Tiểu đạo sĩ Minh Trạch khôn khéo chạy đến Dương Tàm thân trước thi lễ một cái, Minh Thế Lễ cũng cung kính thi lễ một cái, đối với Dương Tàm cũng rất quen thuộc, vị này đạo trưởng công giúp tạo hóa, chính là Minh Trạch ân nhân cứu mạng, đối với minh nhà có đại ân.

	" Ừ."

	Dương Tàm dửng dưng xử chi, gật đầu một cái, không một chút nịnh nọt vẻ.

	Dương Tàm không có quá nhiều để ý tới Minh Thế Lễ, hướng Bắc Phong tới, thân vì nửa bước tiên thiên võ giả cùng dựa lưng vào núi Long Hổ cây đại thụ này, Dương Tàm có loại này sức.

	"Gặp qua thượng nhân, thượng nhân ngược lại là thật hăng hái, không có ở đây bên trong trong điện dùng cơm nhưng tới nơi này dạy dỗ Minh Trạch, thật là đứa nhỏ này phúc phận."

	Dương Tàm đến gần Bắc Phong bên người thi lễ một cái, rồi sau đó khách sáo nói.

	"Đã ăn rồi, đi ra tản bộ vừa vặn thấy được cái này hai cha con hùng hổ dọa người, nhìn không được thôi."

	Bắc Phong khóe miệng giật một cái, tại sao lại bị bắt tại chỗ.

	"Đạo trưởng gọi thế nào một người tuổi trẻ thượng nhân? Hơn nữa giống như là rất bộ dáng cung kính? Hẳn là ảo giác. "

	Bởi vì vì Bắc Phong hai người cách có đoạn khoảng cách, chỉ mơ hồ nghe thượng nhân hai chữ, cùng Dương Tàm thi lễ, Minh Thế Lễ âm thầm nghĩ.

	"Các người hai người mình đi xuống."

	Tông sư trí nhớ cũng thật không tệ, nhìn Tô Bách dáng vẻ, Dương Tàm chính là khóe miệng giật một cái, phải, không cần phải nói cũng biết chắc lại là bị mình tiểu đồ đệ đánh.

