Chương 260: Tần Vô Pháp quyết định 
 Converter Dzung Kiều cầu khen thưởng 

	Chó ba đầu quay đầu chỗ khác lô, vẻ kiêu ngạo bỏ mặc chuyện ta.

	Bắc Phong khóe miệng co quắp, nhìn Huyền Tam trên trán túi lớn luôn có loại cảm giác buồn cười, nghiêng đầu qua thấy phòng khách trên ghế sa lon ngồi một cái hai mươi lăm hai mươi sáu tuổi, mặt mang cẩn trọng cô gái, không khỏi nhìn về phía Huyền Tam.

	"Ông chủ, vị này là ta lần nữa tìm giáo viên, mặc dù danh tiếng không có ngày hôm qua cái đó lớn, nhưng kiên nhẫn nhưng là rất tốt."

	Huyền Tam giải thích, chiều hôm qua sau khi trở về Huyền Tam cũng không có thiếu vì chuyện này bận tâm, kết quả sáng sớm tới lại bị chó ba đầu thu thập một lần, Huyền Tam cảm giác được mình cũng rất ủy khuất.

	Nhưng cũng không có cách nào, Huyền Tam nhưng mà gặp qua chó ba đầu chiến lực, bị thu thập cũng chỉ có thể đánh rụng răng đi nuốt vào bụng.

	Nếu không chọc cho điều này chó ba đầu nổi cáu, mình cái này thân thể nhỏ còn chưa đủ chó ba đầu một cái tát.

	"Ông chủ ngài khỏe, ta nhất định có thể đảm nhiệm công việc này, xin ngài cho ta một cái cơ hội."

	Lâm Mi cung kính đối với Bắc Phong nói, bởi vì vì Huyền Tam tự nhủ qua, rốt cuộc có thể hay không lưu lại hắn nói không tính, muốn hắn ông chủ nói mới tính, Lâm Mi rất cần cái này một phần lương cao công tác, vốn là có chút xấu hổ Lâm Mi đánh bạo đối với Bắc Phong nói.

	" Ừ, cơ hội ta cho ngươi, có thể hay không lưu lại liền xem chính ngươi, tất cả tài liệu giảng dạy ta nơi này đều có, bắt đầu giờ học đi."

	Bắc Phong gật đầu một cái, sờ ăn nhiều cùng ăn không no lông xù đầu nói.

	Còn như Không Ăn Được chính là đem đầu đừng hướng một bên, đối với Bắc Phong đưa tới tay vẻ kiêu ngạo chê, bản chó đầu là ai cũng có thể sờ sao?

	"Huyền Nguyệt, tới gặp ngươi một chút giáo viên, ngươi cũng phải học nói chuyện."

	Bắc Phong hướng về phía sáng sớm ngay tại trong vườn hoa bận rộn Huyền Nguyệt vẫy vẫy tay, mỗi lần cũng Huyền Nguyệt đối thoại có thể cũng là muốn tiêu hao thả câu kinh nghiệm, mặc dù một lần không nhiều, nhưng gom ít thành nhiều, thời gian một dài liền là rất lớn một khoản thả câu kinh nghiệm.

	Huyền Nguyệt không có nói gì nhiều, đàng hoàng trở về.

	Lâm Mi nhìn quái dị này tổ hợp trong lòng cũng có chút lo âu, mình không phải là bị chập chờn chứ ?

	Nhưng vẫn là không có nói nhiều, cái này phần tiền lương đối với mình cám dỗ quá lớn, nhất định phải thử một chút.

	Lập tức Huyền Tam mang Lâm Mi tiến vào một gian phòng đơn, bên trong các loại tài liệu giảng dạy đều chuẩn bị xong.

	Bắc Phong cũng không có cái đó lòng rỗi rãnh đi nhìn chằm chằm, Huyền Tam lần này ngược lại là rất tự giác, đàng hoàng đứng ở ngoài cửa, rất sợ lại tới một cái Uông Cầm giáo viên không phụ trách như vậy.

