Chương 804: Thay đổi trời đất 
 Converter Dzung Kiều cầu khen thưởng và cảm ơn bạn Lê Tuấn Kiệt đã tặng phiếu đề cử

	Cuồn cuộn làm sạch sóng trùng kích càn quét trời đất!

	Không thiếu đệ tử nòng cốt đều là vội vã tránh qua dư âm, vẻ kiêu ngạo hoảng sợ!

	Còn có một nơi sân thuộc về hai người giao chiến trung tâm, kinh khủng dư âm trực tiếp hạ xuống, kích thích sân trận pháp!

	Đủ để ngăn trở phong hoàng cường giả một kích toàn lực trận pháp chập chờn không nghỉ, giống như là một khắc sau liền có thể có thể phá bể.

	Kinh khủng như vậy chiến đấu để cho mọi người khiếp sợ!

	"Keng!"

	Băng sơn tan vỡ, lộ ra trong đó một chuôi trên thân thương phủ đầy kẽ hở thương hàn băng!

	Lúc này chuôi này thương hàn băng gặp phải bị thương nặng, linh tính giảm nhiều.

	"Một trời biển máu sen! Nhất xuyên băng hà cuốn ngược!"

	Nhưng Vô Sanh xem cũng không có liếc mắt nhìn, Vô Sanh cũng không có trông cậy vào dựa vào thương hàn băng có thể đánh bại Bắc Phong, chỉ là vì trì hoãn một ít thời gian mà thôi.

	Một đạo trong biển máu hoa sen chập chờn, từng cổ một sát khí cùng huyết khí phóng lên cao, cùng bầu trời băng hà xen lẫn!

	Nhìn cái này một màn kinh khủng, không thiếu đệ tử nòng cốt sợ hãi trong lòng, dâng lên một cổ lớn khủng bố.

	Vội vội vàng vàng rời đi hai người giao chiến trung tâm, lòng vẫn còn sợ hãi nhìn về phía bầu trời.

	"Tinh thần chi vực , mở !"

	Bắc Phong nhìn 2 món công kích một lên một xuống, phong tỏa mình tất cả đường lui, tâm niệm vừa động, trong cơ thể nguyên lực bùng nổ, xông lên trời không!

	Tầng 1 mờ mờ sương mù trực tiếp xuất hiện ở Bắc Phong đỉnh đầu, trong sương mù mơ hồ có một chút bụi bậm vậy lớn nhỏ điểm sáng.

	Lúc này cái này một viên điểm sáng lóe lên, rồi sau đó đột nhiên nổ tung!

	Vô số điểm sáng ở Bắc Phong đỉnh đầu trong sương mù như ẩn như hiện, rồi sau đó đột nhiên khuếch trương!

	Ở nơi này là từng viên một điểm sáng, đó là từng hạt tròn tinh cầu!

	Vô số đại tinh ở Bắc Phong đỉnh đầu hiện lên, rủ xuống ánh sao, tất cả đại tinh bây giờ lẫn nhau xoay tròn, dựa theo nhất định xếp hạng trưng bài, xây dựng ra tới một bộ thiên đồ!

	"Oanh!"

	Giống như diệt thế giống vậy nổ vang lên, lấy Bắc Phong làm trung tâm,

	Chu vi mười dặm trực tiếp xuất hiện một cái hắc động thật lớn!

	"Kết thúc!"

	Vô Sanh sắc mặt có chút tái nhợt, nhìn ra được như vậy công kích cho dù là đối với Vô Sanh mà nói cũng là một cái không nhỏ gánh vác.

	"Bây giờ đứa nhỏ thật là tinh lực thịnh vượng à, lại có thể lấy ra lớn như vậy động tĩnh."

	Hầu Ma Thiên nhìn trống rỗng bàn cờ, nắm trong tay một con cờ nhưng không biết rơi ở nơi nào.

	Từng cổ năng lượng không ngừng lấy Bắc Phong làm trung tâm, hướng bốn phương tám hướng lan truyền, thậm chí để cho Hầu Ma Thiên chỗ ở đỉnh núi đều là hơi run run.

	Đếm không hết cây lớn bị sóng trùng kích đánh nát, loạn thạch bay tán loạn, dâng lên một cổ to lớn bụi mù, tràn ngập bốn phía.

	"Thằng nhóc giỏi, không hổ là đệ tử của lão phu."

	Từng vị tông môn trưởng lão, chấp sự chạy tới, kinh khủng sóng trùng kích đến trước mặt mọi người lúc nhưng tự động phân tán ra, tránh khỏi nhóm người này.

	Một to lớn cụ già giữa eo treo một cái hồ lô lớn, sau lưng đeo một cây lửa màu cái búa đỏ, lúc này nhìn về phía lâm không đứng Vô Sanh cao hứng không dứt, rất sợ người khác không biết Vô Sanh là đồ đệ của mình.

	Nhìn bốn phía một mảnh hỗn độn, cụ già gỡ xuống bầu hồ lô hung hăng ực một hớp rượu, có đồ như vậy, đời này không còn mong gì hơn.

	"Ngươi học trò à, phiền toái chờ một chút đến hình phạt điện đem tiền phạt dạy một chút, không có báo cáo, tự mình ở tông môn ngọn núi chính hạ đánh lộn, khiến cho tông môn hoàn cảnh phạm vi lớn phá xấu xa."

	Một bao phủ ở mặt quỷ mặt nạ dưới, trong tay quấn vòng quanh một cái tất xiềng xích màu đen chàng trai đi tới trước mặt lão giả, sâu kín mở miệng vừa nói.

	"Ực!"

	Cụ già lần nữa ực một hớp rượu, rồi sau đó nghiêm trang nói, "Ti Phạt, ta uống rượu, ngươi cũng biết người tuổi tác một lớn, uống chút rượu liền dễ dàng nói mê sảng, mới vừa lão đầu tử ta nói gì?"

	Một đám tông môn trưởng lão chấp sự khóe miệng co quắp, đây là vì không nộp tiền phạt, liền học trò cũng không cần sao?

	"Quy củ chính là quy củ, không cho sửa đổi, dù sao hòa thượng chạy được miếu không chạy được."

	Tư pháp thanh âm không có bất cứ ba động gì, rất ý tứ đơn giản, ngươi không giao, vậy ta đi ngay để cho ngươi học trò đóng.

	"Bằng bản lãnh đánh thắng chiếc tại sao còn muốn nộp tiền phạt!"

	Cụ già sắc mặt có chút đỏ thắm, phùng mang trợn mắt vừa nói, tay phải lặng lẽ không tiếng động sờ lên sau lưng đại chùy, con ngươi vòng vo chuyển, nhìn chằm chằm Ti Phạt sau ót, giống như là đang suy nghĩ một cái búa đi xuống có thể hay không gõ choáng váng Ti Phạt.

	"Hỏa Dung, ta khuyên ngươi vẫn là không nên ra tay tốt, đàng hoàng nhận thua đi, trong tông môn trừ mấy vị lão tổ ra, liền tông chủ đều không phải là Ti Phạt đối thủ."

	Một bên trưởng lão cười khổ đi ra giảng hòa, không biết Hỏa Dung là tu luyện thế nào, càng tu luyện, đầu óc càng một gân.

	Không có ai hoài nghi Hỏa Dung có thể không thể làm ra dùng cái búa đánh ngất xỉu Ti Phạt được vì tới, dẫu sao cái này lão hàng là có tiền án, ban đầu một cái búa đi xuống, đem tông chủ trên đầu cũng đánh một cái túi.

	Hỏa Dung lẩm bẩm mấy tiếng, rồi sau đó vẻ kiêu ngạo ủy khuất đứng tại chỗ.

	Mà phương mới ra ngoài giảng hòa trưởng lão nhưng là nghe được Hỏa Dung đang nói thầm cái gì đó.

	"Bố không đánh lại ngươi, nhưng ngươi thú cưỡi bố tổng đánh thắng được đi, quay đầu liền một cái búa đánh chết kéo về nướng."

	Nghe Hỏa Dung lẩm bẩm, trưởng lão này mặt đầy quấn quít, muốn không muốn hướng Ti Phạt tố cáo cái này lão hàng à?

	Nhưng là suy nghĩ một chút Hỏa Dung lão tiểu tử kia tính cách cùng nhớ thù tác phong, suy nghĩ một chút trưởng lão này mới tính là bỏ đi cái ý niệm này.

	"Chỉ là như vậy còn chưa đủ! Đại sư huynh vị trí ta muốn định!"

	Ngay tại Vô Sanh có chút lo âu có biết dùng hay không lực thật mạnh đem Bắc Phong đánh thời điểm chết, một cổ thịnh vượng sức sống bộc phát, một bóng người chưa bao giờ đoạn bể tan tành gây dựng lại trong hư không bước bước ra ngoài!

	Không thể không nói Vô Sanh mới vừa công kích quả thật rất mạnh, để cho Bắc Phong cũng là hơi nghiêm túc một ít.

	Trực tiếp sử dụng một tòa không hoàn chỉnh lãnh vực!

	Lấy nguyên lực mô phỏng chư Thiên Tinh thần ổn định, trực tiếp xây dựng ra tới một tòa có một không hai phòng ngự đại trận!

	Trước kia Bắc Phong chỉ có vận dụng Âm Dương gia tu vi lúc mới có thể làm được, mà hôm nay tinh lực đã cùng còn lại 2 loại lực lượng dung hợp vì một, không chỉ có thể vận dụng Âm Dương gia thủ đoạn, lại có thể phát huy ra càng kinh khủng hơn lực lượng!

	"Làm sao có thể!"

	Vô Sanh tâm thần chấn động, có chút không thể tin.

	Mình dung hợp lượng lớn quy tắc sát chiêu lại có thể không công mà về!

	"Không có gì không thể nào, không thể nào chẳng qua là bởi vì ngươi tu hành còn chưa tới nhà."

	Bắc Phong nhìn Vô Sanh hình dáng, mở miệng nói.

	"Ta sẽ không thua! Ta là Vô Sanh!"

	Vô Sanh có mình kiêu ngạo, cứ việc mình bất quá là một phổ thông thể chất, nhưng lại liền thể chất đặc thù ở cùng trong cảnh giới đều bị hắn đã đánh bại!

	Lần lượt thắng lợi để cho Vô Sanh lòng tin chưa từng có khổng lồ, dưỡng thành Vô Sanh vô địch tín niệm!

	Đối với Vô Sanh mà nói, thất bại cũng không đáng sợ, đáng sợ là thua ở tu vi chênh lệch mình một cái đại cảnh giới người!

	Tựa như cùng rất nhiều bị Vô Sanh bước cảnh giới đánh bại người vậy, trong lòng đều là tràn đầy không thể tin!

	"Hạt giống tốt, các người ai cũng không nên cùng ta cướp!"

	Một quần áo tả tơi chàng trai nhìn về phía Bắc Phong bóng người lúc đôi mắt sáng lên, quay đầu hướng về phía một đám tông môn trưởng lão, chấp sự nói.

	"Người này thật là tươi đẹp, Vô Sanh mạnh, quá rõ ràng, nhưng lại bị người lấy thấp một cái nguyên vẹn đại cảnh giới tu vi đánh tới trình độ này, từ một loại ý nghĩa nào đó mà nói, Vô Sanh đã thua."

	"Nếu là duy trì như vậy chiến lực đi xuống, ta Vạn Cổ thiên tông có lẽ lại sắp xuất hiện một tôn cường giả vô địch!"

	Một đám người liếc mắt nhìn về phía quần áo tả tơi chàng trai, ngươi làm mọi người tại đây đều là người mù sao?

	Không thể không nói lúc này Bắc Phong biểu hiện tươi đẹp mọi người, để cho tại chỗ trưởng lão chấp sự đều là sinh ra một cổ lòng yêu tài.

	"Nếu như chỉ là như vậy, vậy các ngươi ba cái có thể vừa động thủ một cái."

	Bắc Phong lúc này hình dáng bất quá mười lăm mười sáu tuổi, nhưng quanh thân nhưng là chìm nổi trước mênh mông năng lượng, một cổ vô địch tín niệm lấy Bắc Phong làm trung tâm, hướng bốn phương tám hướng lan truyền!

	Cái này cổ khí chất giống như thực chất, để cho tất cả mọi người đều bị lúc này Bắc Phong nơi khuất phục!

	Cầm Âm cùng Bách Nha Tử hai mắt nhìn nhau một cái, trong con ngươi cũng thoáng qua nổi nóng, cho tới bây giờ chỉ có mình đối với người khác nói như vậy nói, lúc nào đến phiên người khác như vậy khinh thị mình!

	Nhưng thật nếu để cho hai người kết quả, cùng Vô Sanh cùng chung ra tay, nhưng là để cho hai người có chút lau không ra mặt mũi.

	"Biển máu hạ xuống!"

	Vô Sanh không cam lòng, không cam lòng mình cứ như vậy bị đánh bại, trong nháy mắt chưa từng sinh trong cơ thể truyền tới một cổ động trời chập chờn!

	"Động hư cảnh mặc dù bị gọi là động hư, chính là bởi vì mở ra đi ra ngoài không gian, để cho ta nói cho ngươi động hư cảnh cùng vạn năm tôn bây giờ chân chính chênh lệch!"

	Vô Sanh cả người sát khí chất đó đại biến, giống như một tôn thái cổ thần vương, toàn thân bộc phát ra vô lượng ánh sáng!

	"Vô Sanh bắt đầu liều mạng!"

