Chương 331: Nhà nông thức ăn 
 Converter Dzung Kiều cầu phiếu 

	"Ừ, em gái, ngươi chủ ý này không tệ!"

	Từ Kính Tùng mặt đầy bất đắc dĩ nhìn 2 cái cười trên sự đau khổ của người khác bạn quậy phá, hắn biết mình hình tượng huy hoàng ngày hôm nay coi như là hủy ở cái này hai anh em gái trên tay.

	Quả nhiên, không đợi được 5 phút, Triệu Vân trong điện thoại di động nhận được các bạn đáp lại tin tức, có một dũng mãnh các chị trực tiếp tới một đoạn: "Nhỏ Vân Vân, có phải hay không Từ đại công tử muốn đối với ngươi mưu đồ gây rối, tới một bá vương ngạnh thượng cung bị ngươi đuổi thư uy cho chém xuống trong nước?"

	"Bé Mi, ngươi cái cô nàng chết dầm kia lại dám như vậy sáng tác xếp ta, ngươi chờ xem ta trở lại không xé rách ngươi vậy 2 tấm phá miệng. Đúng rồi, ta tùy tiện hỏi một chút, ngươi trong lòng là không phải sớm liền muốn để cho Từ đại công tử như vậy đối với ngươi tới một lần à , ừ, ngươi nhất định là nghĩ như vậy, nếu không ngươi tại sao có thể có như thế ý nghĩ xấu xa, bây giờ Từ đại công tử ở nơi này, có muốn ta giúp ngươi một tay hay không đem ý tưởng này chuyển đạt cho hắn, để cho ngươi lấy thường tâm nguyện à? Khanh khách. . ."

	Nghe được Triệu Vân cái này dũng mãnh mà nói, Lưu Hiểu Mai giương cái miệng nhỏ nhắn kinh ngạc nhìn Triệu Vân, nàng không nghĩ tới cái này mới quen không bao lâu chị tiểu Vân, còn có như thế dũng mãnh một mặt.

	Mà Triệu Vân Hào bọn họ nhưng một bộ chê bai dáng vẻ không sợ hãi, chỉ bất quá Từ Kính Tùng trên ót có một đám mây đen thổi qua mà thôi.

	Ngay tại Từ Kính Tùng đầy óc mây đen bay qua lúc này hắn vậy không chống nước tính năng cũng không tệ điện thoại di động, lúc này cũng bị đến các bạn cho hắn tin tức.

	"Tùng Tử, ở địa phương nào chứ? Chơi được như vậy hey!"

	"Tùng Tử, ngươi không biết thật hướng bé Mi nói như vậy, tương đối bá vương hoa mạnh bạo, bị bá vương hoa cho té trong sông đi chứ ?"

	"Anh bạn bội phục ngươi, liền bá vương hoa cũng không dám mạnh bạo, Tùng Tử, ngươi đây thật là ngại tự tử quá chậm tiết tấu à!"

	"Tùng Tử, cố gắng lên, đem bá vương hoa bắt lại, người anh em về tinh thần giúp đỡ ngươi!"

	"Con bà nó, các ngươi đám này tiện nhân, trong đầu tư tưởng xấu xa, người anh em nói cho các ngươi, ta bây giờ ở một cái sơn thanh thủy tú, phong cảnh như tranh vẽ trong tiểu sơn thôn du lịch, làm thành như vậy đó là nhìn thấy một cái gần 2 thước dài hoang dại đại cá chép đỏ, mình nhảy xuống bắt cá mới làm thành như vậy."

	"Giải thích chính là che giấu, các ngươi cũng song song đi sơn thôn nhỏ qua thế giới hai người, còn dùng giải thích sao?"

	"Tùng Tử, nhiều vỗ điểm cái thôn đó tấm ảnh chỗ đi lên, muốn là thật có ngươi nói tốt như vậy, người anh em cũng mang bạn gái đi chơi một chút."

	. . .

	Triệu Vân không nghĩ tới mình phát tranh ảnh lại đem mình gài bẫy đi vào, nghe được Từ Kính Tùng đám kia bạn quậy phá đánh giá đối với mình, Triệu Vân ở cảm thấy tức giận đồng thời, trong lòng mắng: "Lão nương, ngày thường cũng rất thuỳ mị, dáng vẻ này các ngươi đám này khốn kiếp nói như vậy à?"

	Triệu Vân trong lòng âm thầm phát tàn nhẫn, sau khi trở về nhất định phải cho đám kia dám chê mình thằng nhóc thúi cửa xinh đẹp.

	Bây giờ Từ Kính Tùng biến thành ướt như chuột lột, mọi người cũng không có chơi tiếp hứng thú, xách mấy cái đánh tới cá, một đường tay cười đi trở về.

	Dọc theo đường đi Triệu Vân cùng Từ Kính Tùng 2 người đều ở đây cùng những bằng hữu kia cửa đánh nước miếng ỷ vào, trở lại viện tử, Ma Đại cùng Ma Nhị đã đem bắt trở lại thỏ rừng, bày đặt ở cây hoa quế xuống trên bàn đá.

	Đem thỏ rừng sau khi thu thập xong, bởi vì là ngày hôm nay Ma Đại cùng Ma Nhị không có bắt có gà rừng, Mưu Huy Dương lại đi hậu viện bắt một cái nhỏ gà mái cỡ 1,5-2kg, giết sau thu thập sạch sẽ, để cho Lưu Hiểu Mai lưu lại cùng cái này ba người nói chuyện phiếm, chính hắn liền chui vào phòng bếp, bắt đầu làm việc buổi trưa cơm nước tới.

	Mưu Huy Dương ngày hôm nay phải làm một đạo nhỏ xào gà, cho nên mới làm thịt một cái năm nay mới nuôi tử gà mái, Mưu Huy Dương đem thu thập sạch sẽ tử gà mái chém thành miếng nhỏ, gia nhập số lượng vừa phải muối, đoán rượu, lão rút ra, hành mảnh, gừng, để ở một bên gõ này dự bị.

	Đem liền trái ớt cắt đoạn, ớt xanh cắt khối, ước chừng ướp 20 phút, Mưu Huy Dương đem ướp thịt gà lúc hành, gừng đoạn nhặt ra, ở thịt gà trong gia nhập một ít tinh bột bắt chia đều sau để qua một bên dự bị.

	Đem tất cả chuẩn bị công tác làm xong sau đó, Mưu Huy Dương đi trong nồi gia nhập so ngày thường xào rau là hơi nhiều hơn một chút thức ăn dầu, thêm nóng sau bỏ vào gừng mảnh, đậu thị, liền trái ớt, dùng chậm lửa xào ra mùi thơm.

	Cùng đậu thị bắt đầu xào ra mùi thơm lúc đem mới vừa rồi ướp tốt thịt gà rót vào trong nồi, dùng trong lửa từ từ trộn xào, làm thịt gà biến sắc, lượng nước thu liền sau gia nhập một muỗng gà tinh, (có hào dầu thêm 2 muỗng hào dầu, làm được mùi vị tốt hơn) một muỗng bạch đường trộn xào đều đều.

	Cùng thịt gà ở giữa lượng nước hoàn toàn thu làm hơn sắc sau đó, gia nhập một chén nhỏ nước nóng, tiếp tục dùng trong lửa đem nước nấu sôi, cùng tất cả lượng nước thu liền sau đó, bỏ vào cắt tốt ớt xanh khối trộn xào mấy cái, cuối cùng đổ vào mấy giọt nhám dầu làm ra vẻ đĩa, một phần nhà nông nhỏ xào gà liền làm xong.

	Hơn một giờ sau đó tất cả thức ăn cũng làm xong, làm Mưu Huy Dương gọi dọn cơm lúc này Lưu Hiểu Mai liền vào phòng bếp hỗ trợ bưng thức ăn, thấy Lưu Hiểu Mai cũng đi hỗ trợ, Triệu Vân cũng ngại quá ngồi ở đó, cũng đi theo đi hỗ trợ.

	Vì chiêu đãi Triệu Vân Hào ba người, Mưu Huy Dương làm thức ăn rất là phong phú, có cay tử thỏ, món cá chua, nhà nông nhỏ xào gà, Mưu Huy Dương còn nghĩ mới nổ thật là không có hai ngày dầu chiên thịt lấy một phần đi ra, thức ăn có dưa leo xắt lát, rau trộn cà chua, xào cải xanh, cải thảo xào. . .

