Chương 1162: Khước từ không hết hôn sự! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Có phải hay không cảm thấy rất đáng sợ?"

	Lâm Phong trước người rất đột ngột xuất hiện một cái gầy nhom người đàn ông trung niên, chàng trai khoác trường bào màu tím, đỉnh đầu bảy màu vương miện, lóng lánh ánh sáng 7 màu rất là nhức mắt, Lâm Phong chỉ có thể đưa tay ra ngăn trở đôi mắt, sợ bị ánh sáng mạnh kích thích.

	Trải qua sáu quan cố gắng, Lâm Phong rốt cục thì gặp được phượng hoàng nhất tộc người thống trị cao nhất, 7 màu phượng hoàng.

	"Đây là địa phương nào?" Lâm Phong hỏi một câu, lòng nhưng là bình phục lại, bỏ mặc nói thế nào đã vượt qua trước mặt sáu quan, đi vào cửa ải cuối cùng, đã là thu được thắng lợi, Lâm Phong mình không cho mình quá nhiều áp lực.

	"Cổ chiến trường!" Đàn ông gầy nhom toét miệng cười một tiếng, nụ cười có chút đáng sợ, nhất là hắn còn có hai cây tương đối nhọn răng, ngược lại không giống như phượng hoàng nhất tộc vương giả, mà là quỷ hút máu!

	Lâm Phong chân mày nhỏ chọn, trong lòng nhưng là tràn đầy khiếp sợ, thật lâu đều khó bình phục tâm tình, cổ chiến trường? Đây là mình trước đã tới cổ chiến trường? Nhưng mà tại sao chênh lệch to lớn như vậy, trước khi cổ chiến trường cho dù cũng có loại này xơ xác tiêu điều hơi thở, trong không khí nổi lơ lửng mùi máu tanh, nhưng mà chí ít coi như bình thường chiến trường.

	Nhưng mà nơi này không chỉ có tất cả đều là màu máu đất đai, hơn nữa lại là khắp nơi trắng xương khô, có lớn có nhỏ, lớn xương khô có chừng thành hơn trăm ngàn gạo, thậm chí chục nghìn mét xương khô cũng có, mà đứa nhỏ hài cốt cũng không qua hơn một thước mà thôi, rất hiển nhiên là tộc người.

	Cửa thứ tư và ải thứ bảy bất quá chênh lệch mấy giờ mà thôi, lại lần nữa tiến vào cái này cổ chiến trường nhưng lại là một phen cảnh tượng, có thể so với vượt qua mấy trăm năm như nhau, lại trải qua không cách nào nói rõ thảm thiết chiến tranh.

	"Rất khiếp sợ sao? Ngươi cái này người đầu têu cũng cảm thấy được khiếp sợ?" Đàn ông gầy nhom tiếp tục cười lạnh, liếc mắt Lâm Phong sắc mặt, đích xác rất khó khăn xem.

	Nghe vậy, Lâm Phong nhìn về phía 7 màu phượng hoàng, không hiểu người sau là ý gì, tựa hồ trong lời nói có lời.

	"Ngươi đây là ý gì?"

