Chương 1176: Bí mật hiệp định! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ngươi phải chăng cam tâm làm hắn nô lệ?"

	Rất vực cảnh, một cái trong rừng núi, Thổ Kim thần tổ đầu đội nón lá rộng vành, đối mặt với cao vút liền mảnh rất vực dãy núi, quát ra một tiếng.

	Sau lưng.

	"Không cam lòng!"

	Một người mặc hoàng bào ông già đầy mặt vẻ không cam lòng, nhưng không thể làm gì, hắn không dám không làm, một khi phản kháng vậy đó là một con đường chết, hắn không sống đủ, không muốn chết, hơn nữa từ cảnh giới thứ nhất tu luyện tới bây giờ, có thể nói dùng mấy trăm ngàn năm, hắn mới không cam lòng chết như vậy hết.

	"Cự Ưng, vậy ngươi làm sao mới có thể cam tâm?" Thổ Kim thần tổ xoay người, ánh mắt gắt gao nhìn chằm chằm Cự Ưng thần tổ, trầm giọng hỏi.

	Cự Ưng thần tổ mặt liền biến sắc, hắn cảm thấy đến từ Thổ Kim thần tổ khí thế đáng sợ chèn ép, để cho hắn muốn nghẹt thở, mặt vậy biệt hồng, có thể hắn như cũ đĩnh những thứ này thống khổ đáp: "Trừ phi hắn thành là bá chủ, ta sẽ cam tâm" .

	"Ngươi chắc chắn?"

	"Chắc chắn, tiền bối, làm Lâm Phong thành là bá chủ, ta mới cam tâm thành là hắn nô lệ" . Cự Ưng thần tổ kiên định đáp trả, hắn không có làm trò đùa.

	"Ha ha, thật là chuyện tiếu lâm, Lâm Phong như thành bá chủ, ngươi có và tư cách thành là hắn nô lệ?" Thổ Kim thần tổ gặp hắn chắc chắn sau đó, chính là cười, hơn nữa còn là vô tình giễu cợt cười to lên.

	Cự Ưng thần tổ lão mặt đỏ lên, tựa hồ bị những lời này bị thương tự ái, đúng là một khi Lâm Phong trở thành bá chủ, như vậy thuộc hạ tất nhiên sẽ có càng ngày càng nhiều vật phàm hoặc là linh phẩm thần tổ, như vậy còn cần hắn cái này linh phẩm thần tổ làm gì.

	Chẳng qua là. . . Một cái bí mật rất nhiều người cũng sẽ không biết, duy chỉ có chính hắn biết.

	"Tiền bối, nếu như, Lâm Phong một ngày kia thành là bá chủ, ta liền dẫn Cự Ưng tộc đầu dựa vào hắn" .

	"Ngươi nói gì? Cự Ưng tộc? Năm đó Cự Ưng tộc chẳng lẽ. . . ?"

	Thổ Kim thần tổ sắc mặt nhất thời đại biến, bị Cự Ưng thần tổ thình lình nói chấn động đến, giờ khắc này liền vị này địa tổ cũng không biết nên như thế nào suy tính vấn đề.

