Chương 683: Ngươi nít ranh Khương Hiên! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Lang Tà, Lâm Phong chuyện này. . ." .

	Tổ Địch sắc mặt lão nhân có chút phức tạp nặng nề nhìn Lang Tà thần tôn, muốn nói gì, nhưng còn chưa có nói xong liền bị Lang Tà thần tôn lấy tay cắt đứt, hắn liếc mắt Lâm Phong sau đó hướng về phía Tổ Địch lão nhân nói: "Hắn sự việc, ngươi ta đều không thể dính vào" .

	"Tại sao?" Tổ Địch lão giả sắc mặt có chút khó hiểu cùng kinh ngạc, không hiểu Lang Tà thần tôn lời nói ý.

	Lâm Phong nhưng là từ Lang Tà thần tôn nếu nghe được một tia thứ khác, nhưng lại không xác định.

	"Ngươi cảm thấy Lâm Phong dựa vào mình có thể hay không giải quyết chuyện này?" Lang Tà thần tôn tiếp tục trầm giọng hỏi Tổ Địch lão giả.

	Tổ Địch lão giả lắc đầu một cái, hắn phải chuyện thật cầu đúng vậy trả lời, ông già ánh mắt có chút phức tạp nói: "Không thể, có Tử Điến cái đó lão già kia ở đây, Lâm Phong không thể nào giải quyết" .

	"Không sai, chỉ cần Tử Điến thần tôn che chở Phục Tô Dung, Lâm Phong trả thù kế hoạch liền không cách nào thực hiện, cho nên ta mới nói ngươi ta cũng không cần để ý" .

	"Có thể là đại ca, ngươi liền có thể nhịn được khẩu khí này?" Tổ Địch lão giả nghe Lang Tà thần tôn mà nói, trong lòng hết sức không cam lòng, không nhịn được lại uống lên tiếng hỏi ngược lại Lang Tà thần tôn.

	Lang Tà thần tôn cười khổ một tiếng, lắc đầu nói: "Nếu không ngươi có thể làm sao? Giết Tử Điến thần tôn? Thành Lang Tà có bốn lớn thượng vị thần tôn, đây đã là trời cao ban ơn, đây cũng là thành Lang Tà có thể bình an vô sự nguyên nhân, ngươi chẳng lẽ muốn Khương Dịch Thiên cùng Khương Dịch Trạch hai anh em, hơn nữa anh cả ngươi ta, chúng ta ba cái đi giết Tử Điến thần tôn?"

	"Ngươi không phải không biết Tử Điến thần tôn thực lực, hắn cùng ta xấp xỉ, nếu như giết hắn, đối với thành Lang Tà mà nói, đó chính là tự đoạn một cánh tay ngươi hiểu không?"

	"Ta không thể nào bởi vì là Lâm Phong sự việc mà đi giết Tử Điến thần tôn, trợ giúp Lâm Phong trả thù, cái này không thực tế, ta phải là thành Lang Tà cân nhắc, vậy phải là chúng ta Khương gia cân nhắc, Tổ Địch, một điểm này ngươi hiểu không?"

	Lang Tà thần tôn giọng ngưng trọng là Tổ Địch lão giả lặp đi lặp lại giải thích, đem ở giữa chỗ hiểm tất cả đều nói ra, đối với lần này Tổ Địch lão giả phản bác không ra một câu nói, hắn biết Lang Tà thần tôn những lời này đều là thật, hơn nữa thành Lang Tà không thể nào mất đi một cái thượng vị thần tôn, cái này cùng tự đoạn một cánh tay không có bất kỳ khác biệt.

	Tổ Địch cụ già dáng vẻ tỏ ra có chút thất lạc, nhìn về phía Lâm Phong ánh mắt hơn phân nửa có chút phức tạp và áy náy,

	Lâm Phong đối với lần này ngược lại là tương đối thấy mở, mình không khỏi không thừa nhận Lang Tà thần tôn làm không sai, suy tính vậy rất chu đáo, bọn họ không thể nào bởi vì là mình liền giết Tử Điến thần tôn.

	Dù là mình sâu Khương Hiên thích cùng lệ thuộc vào.

	Lâm Phong bắt đầu hoài niệm cùng nữ nhân mình yêu thích cửa song túc song tê cuộc sống, không cần xem sắc mặt của người khác, vậy không cần cân nhắc vấn đề an toàn, như vậy cuộc sống nên có hạnh phúc dường nào?

	Nhưng mà thực tế thì tàn khốc, nếu như mình không có đạt tới người mạnh nhất, cuối cùng có một ngày là sẽ bị người phát hiện, thế ngoại Đào Nguyên cũng sẽ bị người một đêm bây giờ phá xấu xa, hạnh phúc sinh hoạt có thể sẽ biến thành ác mộng, Lâm Phong không muốn nhìn thấy nữ nhân mình yêu thích và người thân cửa một đêm bây giờ rời đi mình, bị người đánh chết.

	Cho nên Lâm Phong cứng rắn muốn chống to lớn áp lực cùng chết, cũng phải để cho mình trở nên mạnh nhất, đạt tới mạnh nhất người kia mới có thể bảo vệ nữ nhân mình yêu thích cửa.

	Nhưng mà đi qua Vĩnh Hằng quốc độ một nhóm, Lâm Phong mới thật sự cảm thấy, bình thường mình đi tới chỗ nào cũng thuận buồm xuôi gió tình huống đã biến mất, mình bây giờ vô luận tới chỗ nào cũng biết đụng vách tường, cũng biết bị ngược, cũng biết bị dạy bảo, cũng biết thừa nhận làm nhục cùng không cam lòng, một điểm này không cách nào thay đổi.

	Làm thói quen đỉnh cấp người, ngài chúa tể, bây giờ Lâm Phong phải thích ứng cuộc sống bây giờ, ưu thế này đã một chút xíu bị tiêu diệt, thậm chí bắt đầu chuyển đổi thành là hoàn cảnh xấu.

