Chương 152:: Phì Nghĩa cái chết 【 2 hợp 1 】

	『 PS: Hôm nay tỉnh ngủ đến phát hiện, hôm qua là đêm giáng sinh, ngô, quả nhiên ta ngủ rất ổn. 』

	—— —— trở xuống chính văn —— ——

	"Phì tướng, ngài sao lại tới đây?"

	Khi từ mặt mũi tràn đầy kinh ngạc tiến lên đón tới Mông Trọng trong miệng nghe được câu này lúc, Phì Nghĩa sắc mặt đột biến, vừa sợ vừa giận.

	Kinh hãi là, ở chỗ này uống rượu Mông Trọng, vậy mà không biết hắn Phì Nghĩa là bị công tử Chương người lấy Triệu chủ phụ danh nghĩa mời tới, điều này có ý vị gì?

	Mang ý nghĩa cái gọi là "Nghị sự", chỉ là một cái bẫy mà thôi.

	Làm giận là, công tử Chương cuối cùng vẫn là bước ra mưu phản làm loạn một bước này.

	Đúng lúc này, ngoài điện truyền đến một trận tạp lạp tạp lạp tiếng vang, Phì Nghĩa cùng hắn cận vệ nhóm quay đầu liếc mắt nhìn, liền nhìn thấy Thiên Điện ra ngoài hiện từng đội từng đội công tử Chương vệ sĩ, chỉ gặp những vệ sĩ này có cầm trong tay trường qua, có cầm trong tay lợi kiếm, có bưng nỏ cỗ, như ong vỡ tổ mà tràn vào trong điện, đem Phì Nghĩa cùng bên cạnh hắn mấy vệ sĩ, bao quát Mông Trọng, đều bao bọc vây quanh.

	Nhìn thấy một màn này, Mông Trọng trong lòng hơi hồi hộp một chút.

	Hắn cũng không phải lo lắng cho mình, dù sao lại thế nào nghĩ công tử Chương cùng Điền Bất Nhân cũng không có lý do đi gia hại hắn.

	Hắn có chút để ý là Phì Nghĩa —— bởi vì trước mắt điệu bộ này, công tử Chương hiển nhiên là dự định bắt giết Phì Nghĩa.

	Quả nhiên, tại những cái kia cầm trong tay binh khí vệ sĩ đem Phì Nghĩa một đoàn người vây quanh về sau, công tử Chương từ ngồi vào bên trên đứng dậy, chầm chậm hướng bên này đi tới, trong miệng cười nhẹ hỏi: "Phì tướng, làm sao lại chỉ có ngài đâu? Quân thượng đâu?"

	Cho dù bị mười mấy tên vệ sĩ vây quanh, nhưng Phì Nghĩa vẫn mặt không đổi sắc, hắn sắc mặt tự nhiên nói với công tử Chương: "Quân thượng, tự nhiên là tại địa phương an toàn. Ngược lại là An Dương Quân. . . Ngươi bày xuống cái trận thế này, đến tột cùng ý muốn như thế nào đâu?" Hắn chỉ chỉ vây quanh chính mình mười mấy tên vệ sĩ.

	Đúng lúc này, có một vệ sĩ vội vã đi đến công tử Chương trước mặt, ôm quyền nói ra: "Công tử, canh giữ ở ngoài điện binh lính xưng, chỉ có Phì Nghĩa một người đến đây, không thấy quân thượng tung tích."

	Nghe nói lời ấy, công tử Chương nhíu nhíu mày, sắc mặt âm trầm nhìn về phía Phì Nghĩa.

	Lúc này lại gặp Phì Nghĩa vuốt vuốt hoa râm râu ria, bình chân như vại, có chút tự đắc nói ra: "An Dương Quân, ngươi mới mệnh Trần Thảo cầm trong tay Triệu chủ phụ lệnh phù, đi mời quân thượng cùng lão phu tới thương nghị đại sự, còn ý đồ dùng quân thượng nắm Mông Trọng tiểu hữu chuyển đạt ngươi kia lời nói, tức "Lập ngươi con trai trưởng vì Thái tử", đang gạt lấy quân thượng cùng lão phu tín nhiệm. . . Như thế âm hiểm độc kế, chắc là xuất từ Điền Bất Nhân, Điền tướng chi thủ a? Chỉ tiếc,

