Chương 182: Trú tại Trường An 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Thu mưa vẫn còn rơi, Thiết Ngưu đi theo Lý Thế Dân rời đi Tần gia trang viên.

	Nhìn bọn họ hai người rời đi hình bóng, Tần Thiên đột nhiên nghĩ mắng mẹ.

	Không phúc hậu, hắn cảm thấy Lý Thế Dân người này quá không phúc hậu, làm sao cái gì cũng mượn à, lại liền người vậy mượn.

	Đáng thương hắn Thiết Ngưu, sau này đi theo Lý Thế Dân phải chịu khổ.

	Tần Thiên thở dài thở ngắn, trong lòng hết sức khó chịu, nhưng lại vậy không có biện pháp nào.

	Lý Thế Dân mong muốn người, mình có thể không cho sao?

	"Thiết Ngưu à Thiết Ngưu, không nghĩ tới ngươi lại là từ ta nơi này đi ra người thứ nhất."

	Tần Thiên trong lòng suy nghĩ, ngoài miệng nhưng là lộ ra một tia cười yếu ớt, tiếp đi liền đem cáo mệnh sự việc cùng Đường Dung nói một lần.

	Đường Dung gặp cáo mệnh cầu xuống, tự nhiên vui mừng đặc biệt.

	"Tháng sau mùng tám, là cha ta sinh nhật, ta phải mặc vào cáo mệnh phục đi chúc thọ."

	Đường Dung mừng rỡ, có cái này cáo mệnh, nàng lại đi đến Đường gia, xem cái đó Liễu thị còn dám hay không tìm nàng phiền toái, còn dám, một cái tát lên đã qua, hung hãn rút ra.

	Tần Thiên gặp Đường Dung cố ý khoe khoang, cũng là không biết làm sao cười khổ, nhưng lại nói không được cái gì.

	Bất quá nghĩ đến tháng sau mùng tám là hắn cha vợ sinh nhật, hắn liền ít nhiều có chút lo lắng, bởi vì là tháng sau mười sáu, là hắn ngày đón dâu Lô Hoa Nương, cái này Trình Giảo Kim ở tới mua chữ lúc này đã hướng hắn tiết lộ qua.

	Bởi vì trước kia cáo mệnh không có xuống, là lấy không dám đối với Đường Dung nói.

	Vậy Đường Dục biết mình lại phải lấy vợ sau đó, không biết sẽ nghĩ như thế nào hắn người con rể này.

	Thiếu không được, lại phải một hồi lúng túng đi.

	Làm người khó khăn à.

	Tần Thiên trong lòng than thầm, lúc này, Tần Ngũ từ bên ngoài chạy vào: "Anh Thiên, phu nhân."

	"Gấp như vậy, nhưng mà nhà tìm được?"

	"Tìm được, ở thành Trường An trên đường Liễu Lâm, có chừng hai ba trăm mẫu lớn nhỏ, là một cái thương nhân tất cả, bất quá hắn bây giờ nóng lòng rời tay, cho nên giá cả so giá thị trường còn muốn lấy rẻ một chút, chỉ cần anh Thiên có thể cầm ra 40 nghìn xâu tiền mặt, hắn lập tức liền đem khế ước mua bán nhà khế đất cũng sang tên nhà cho ngươi."

	Nghe được lập tức muốn 40 nghìn xâu tiền, Tần Thiên và Đường Dung hai người đều là không nhịn được hít một hơi khí lạnh, 40 nghìn xâu à, đây có thể tuyệt đối không phải một cái số tiền nhỏ.

	Suy nghĩ một chút cũng để cho người cảm thấy đau lòng.

	Có thể vừa nghĩ tới hai ba trăm mẫu lớn nhỏ, hai người lại cũng không nhịn được có chút không nhịn được cám dỗ.

	Hai ba trăm mẫu là cái gì khái niệm, thật rất lớn à, bọn họ chính là ở bên trong cỡi ngựa nói, sợ cũng được một nén nhang thời gian mới có thể nhiêu một vòng chứ ?

	Nếu có thể có một cái lớn như vậy nhà, vậy bọn họ làm cái gì ở bên trong không được?

	Tần Thiên nhìn một cái Đường Dung, Đường Dung trong ánh mắt mang một tia bày chi không đi dục vọng.

	"Tướng công, muốn không muốn liền chứ ?" Đường Dung rất phá của, đặc biệt phá của, ban đầu mua nô lệ, mua ruộng đất chính là một chuyện vọng động tình, lần này cũng có chút không ngoại lệ.

	Bất quá Tần Thiên vậy thật muốn, huống chi cái giá cả này, đúng là coi là là đặc biệt hợp lý.

	"Phu nhân, nhà chúng ta tiền mặt có nhiều như vậy sao?"

	Đường Dung đứng dậy từ đầu giường cầm một cái sổ sách tới đây, lật xem sau đó, thần sắc khẽ hơi trầm xuống một cái, có chút mất mác nói: "Tướng công, chúng ta trong phủ bây giờ chỉ có 30 nghìn xâu tiền mặt, bất quá chị quản những cái kia cửa hàng bên trong, hẳn cũng có một ít, không sai biệt lắm đủ chứ."

