Chương 217: Người lương thiện bia 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Trường An tuyết vẫn còn ở rơi, tựa hồ có chút không xong không có.

	Ngày này lâm triều sau đó, Lý Thế Dân liền phái người đi tất cả cấp quan viên trong phủ thu cũ nát quần áo đi.

	Cũ nát quần áo, đối với những quan viên này mà nói cũng không đáng tiền, thậm chí rất nhiều đều là bọn họ chuẩn bị ném, hoặc là ban thưởng cho người làm nô lệ đồ, cho nên Lý Thế Dân phái người tới muốn, bọn họ ngược lại cũng không cảm thấy được có cái gì, liền trực tiếp lấy ra.

	Chạng vạng tối trước, Lý Thế Dân người đã thu tập được mấy xe lớn cũ nát quần áo.

	Những thứ này cũ nát quần áo thu thập được sau đó, những người này cũng không làm dừng lại, trực tiếp cho những cái kia bị lạnh bị đông người dân đưa đi, những quần áo này mặc dù cũ nát, nhưng vào lúc này đưa qua, đối với những cái kia người dân mà nói, không thể nghi ngờ là có thể sống mạng.

	Có lẽ, liền bởi vì là một bộ quần áo, tối nay Trường An muốn thiếu chết rét rất nhiều người.

	Dĩ nhiên, cứ như vậy một chút quần áo, hiển nhiên là không đủ dùng, hơn nữa càng nhiều người hơn còn thiếu thiếu thức ăn, tiền tài đổi được càng ngày càng nặng muốn.

	Trước khi trời tối, Lý Thế Dân đem Tần Thiên gọi tới trong phủ.

	"Hôm nay bổn vương đã phụ trách chuyện này, tiền tài ngươi nhưng có nghĩ đến biện pháp?"

	"Ngày mai lâm triều sau đó, ở quan viên rời đi hoàng cung trước, mong rằng vương gia có thể đem những quan viên kia ở lại trước cửa cung, đến lúc đó, chúng ta kinh triệu phủ sẽ đem Trường An một ít trong phủ cũng cho kêu đi nơi nào."

	"Ngươi muốn làm cái gì?"

	"Quyên góp."

	Lý Thế Dân chân mày hơi đông lại một cái, nhưng cũng không có nói gì, mặc dù hắn biết để cho những người này ói tiền rất khó khăn, nhưng muốn đến hẳn sẽ có một ít người quyên tặng đi.

	Có lẽ quyên tặng tiền không đủ để giải quyết đúng sự kiện, nhưng rõ ràng lửa xém lông mày nhưng là có thể.

	Nếu như tuyết ngừng, vậy chuyện này thì càng dễ giải quyết.

	Suy nghĩ sau này, Lý Thế Dân gật đầu đồng ý.

	Bữa nay lâm triều, tuyết hơi ít đi một chút, con đường càng phát ra khó đi, đây quả thực là Đại Đường lập quốc tới nay, gặp phải lớn nhất một lần tai nạn tuyết.

	Còn như vậy tiếp tục hạ hạ đi, chính là người có tiền, sợ cũng muốn không chống nổi.

	Hôm nay than lửa giá cả đã bị lên vùn vụt rất cao, người có tiền thiêu cháy vậy có chút đau lòng.

	Trên đại điện gió rét thấu xương, cho nên Lý Uyên cũng không có cùng quần thần bàn bao lâu, liền trực tiếp tuyên bố bãi triều.

